,,,,,SCF,,,
?,? ,?, ?,  ?,Chord saddle,Chord crown,Brace saddle,Brace crown
24.00,0.79,0.26,27.00,1.57,5.47,2.00,7.76,1.52
12.00,0.51,0.22,21.00,1.57,4.41,1.11,6.88,1.98
30.00,0.74,0.54,32.00,1.57,15.68,4.70,13.85,1.62
27.00,0.72,0.70,25.00,1.57,16.72,5.45,12.74,2.21
6.00,1.00,0.42,26.00,1.57,4.19,2.00,4.01,1.16
15.00,0.38,0.58,17.00,1.57,9.82,3.25,8.64,2.55
25.00,0.38,0.85,28.00,1.57,24.62,6.04,16.82,2.48
25.00,0.21,0.90,14.00,1.57,10.24,6.13,7.80,3.42
31.00,0.99,0.81,11.00,1.57,3.90,8.03,3.38,3.96
26.00,0.28,0.50,8.00,1.57,3.50,3.02,4.36,3.14
40.00,0.87,0.79,10.00,1.57,5.73,8.43,4.93,4.40
11.00,0.25,0.89,28.00,1.57,21.95,5.92,14.03,2.97
26.00,0.53,0.23,17.00,1.57,3.75,1.53,6.28,2.35
10.00,0.22,0.56,27.00,1.57,11.99,3.81,10.40,3.25
12.00,0.37,0.88,17.00,1.57,15.40,4.72,10.15,2.52
20.00,0.55,0.83,29.00,1.57,26.16,5.31,17.37,1.75
35.00,0.99,0.34,20.00,1.57,2.73,3.93,3.74,2.61
30.00,0.32,0.82,15.00,1.57,11.94,5.68,9.20,3.20
34.00,0.99,0.26,21.00,1.57,2.13,2.96,3.52,2.33
12.00,0.80,0.66,26.00,1.57,14.40,3.50,10.52,1.35
6.00,0.34,0.57,8.00,1.57,4.37,2.41,4.33,2.73
39.00,0.63,0.45,24.00,1.57,10.71,4.17,11.25,2.36
4.00,0.27,0.39,14.00,1.57,4.58,2.02,5.16,2.83
15.00,0.63,0.38,26.00,1.57,9.63,2.11,10.27,1.53
38.00,0.62,0.58,26.00,1.57,15.42,5.29,13.65,2.40
29.00,0.49,0.56,10.00,1.57,5.85,3.63,6.01,3.06
19.00,0.93,0.38,28.00,1.57,5.85,2.87,6.34,1.47
4.00,1.00,0.42,20.00,1.57,3.23,1.65,3.30,1.51
38.00,0.82,0.55,29.00,1.57,12.62,5.95,11.32,2.29
37.00,0.99,0.91,16.00,1.57,6.45,10.75,4.58,4.36
34.00,0.76,0.39,9.00,1.57,2.99,3.27,4.22,3.19
14.00,0.47,0.54,16.00,1.57,8.96,2.77,8.16,2.37
34.00,0.81,0.33,17.00,1.57,4.31,3.09,5.86,2.60
20.00,0.25,1.00,26.00,1.57,23.17,7.12,14.64,3.19
17.00,0.48,0.60,23.00,1.57,14.49,3.50,11.94,2.07
6.00,0.32,0.88,14.00,1.57,12.04,4.34,7.81,2.58
34.00,0.44,0.51,19.00,1.57,9.88,3.87,9.88,2.73
19.00,0.21,0.89,27.00,1.57,19.52,6.55,13.42,3.51
21.00,0.72,0.66,26.00,1.57,16.30,4.46,12.55,1.80
19.00,0.73,0.31,17.00,1.57,4.58,1.86,6.15,2.18
31.00,0.85,0.32,22.00,1.57,4.92,2.98,6.48,2.17
21.00,0.58,0.53,17.00,1.57,9.29,3.19,8.72,2.39
34.00,0.98,0.88,12.00,1.57,4.95,9.36,3.90,4.27
38.00,0.22,0.92,19.00,1.57,14.56,7.24,10.77,3.71
12.00,0.87,0.69,31.00,1.57,15.30,3.97,10.59,0.97
4.00,0.83,0.52,29.00,1.57,11.61,2.00,8.87,0.77
29.00,0.81,0.66,10.00,1.57,5.43,5.18,5.09,3.38
13.00,0.30,0.78,13.00,1.57,9.54,4.31,7.30,2.85
40.00,0.20,1.00,26.00,1.57,20.87,8.43,14.41,4.03
